x,z,t,T,x_norm,z_norm,t_norm,T_norm
4.0,0.0,420.0,27.8,1.3333333333333333,0.0,0.7,0.014285714285714287
4.0,0.0,425.0,27.7,1.3333333333333333,0.0,0.7083333333333334,0.014102564102564101
4.0,0.0,430.0,27.6,1.3333333333333333,0.0,0.7166666666666667,0.013919413919413922
4.0,0.0,435.0,27.4,1.3333333333333333,0.0,0.725,0.01355311355311355
4.0,0.0,440.0,27.4,1.3333333333333333,0.0,0.7333333333333333,0.01355311355311355
4.0,0.0,445.0,27.0,1.3333333333333333,0.0,0.7416666666666667,0.01282051282051282
4.0,0.0,450.0,26.9,1.3333333333333333,0.0,0.75,0.012637362637362634
4.0,0.0,455.0,27.0,1.3333333333333333,0.0,0.7583333333333333,0.01282051282051282
4.0,0.0,460.0,26.9,1.3333333333333333,0.0,0.7666666666666667,0.012637362637362634
4.0,0.0,465.0,27.0,1.3333333333333333,0.0,0.775,0.01282051282051282
4.0,0.0,470.0,26.5,1.3333333333333333,0.0,0.7833333333333333,0.011904761904761904
4.0,0.0,475.0,26.6,1.3333333333333333,0.0,0.7916666666666666,0.01208791208791209
4.0,0.0,480.0,26.5,1.3333333333333333,0.0,0.8,0.011904761904761904
4.0,0.0,485.0,26.6,1.3333333333333333,0.0,0.8083333333333333,0.01208791208791209
4.0,0.0,490.0,26.3,1.3333333333333333,0.0,0.8166666666666667,0.011538461538461539
4.0,0.0,495.0,26.3,1.3333333333333333,0.0,0.825,0.011538461538461539
4.0,0.0,500.0,26.4,1.3333333333333333,0.0,0.8333333333333334,0.01172161172161172
4.0,0.0,505.0,26.1,1.3333333333333333,0.0,0.8416666666666667,0.011172161172161174
4.0,0.0,510.0,26.3,1.3333333333333333,0.0,0.85,0.011538461538461539
4.0,0.0,515.0,26.3,1.3333333333333333,0.0,0.8583333333333333,0.011538461538461539
4.0,0.0,520.0,26.3,1.3333333333333333,0.0,0.8666666666666667,0.011538461538461539
4.0,0.0,525.0,26.4,1.3333333333333333,0.0,0.875,0.01172161172161172
4.0,0.0,530.0,26.1,1.3333333333333333,0.0,0.8833333333333333,0.011172161172161174
4.0,0.0,535.0,26.5,1.3333333333333333,0.0,0.8916666666666667,0.011904761904761904
4.0,0.0,540.0,26.5,1.3333333333333333,0.0,0.9,0.011904761904761904
4.0,0.0,545.0,26.0,1.3333333333333333,0.0,0.9083333333333333,0.01098901098901099
4.0,0.0,550.0,25.6,1.3333333333333333,0.0,0.9166666666666666,0.01025641025641026
4.0,0.0,555.0,25.5,1.3333333333333333,0.0,0.925,0.010073260073260074
4.0,0.0,560.0,25.5,1.3333333333333333,0.0,0.9333333333333333,0.010073260073260074
4.0,0.0,565.0,25.6,1.3333333333333333,0.0,0.9416666666666667,0.01025641025641026
4.0,0.0,570.0,25.4,1.3333333333333333,0.0,0.95,0.009890109890109888
4.0,0.0,575.0,25.3,1.3333333333333333,0.0,0.9583333333333334,0.009706959706959709
4.0,0.0,580.0,25.5,1.3333333333333333,0.0,0.9666666666666667,0.010073260073260074
4.0,0.0,585.0,25.2,1.3333333333333333,0.0,0.975,0.009523809523809523
4.0,0.0,590.0,25.2,1.3333333333333333,0.0,0.9833333333333333,0.009523809523809523
4.0,0.0,595.0,25.0,1.3333333333333333,0.0,0.9916666666666667,0.009157509157509158
4.0,0.0,600.0,25.3,1.3333333333333333,0.0,1.0,0.009706959706959709
4.0,1.0,0.0,20.0,1.3333333333333333,0.5,0.0,0.0
4.0,1.0,5.01,20.0,1.3333333333333333,0.5,0.00835,0.0
4.0,1.0,10.0,20.2,1.3333333333333333,0.5,0.016666666666666666,0.000366300366300365
4.0,1.0,15.0,26.0,1.3333333333333333,0.5,0.025,0.01098901098901099
4.0,1.0,20.0,24.1,1.3333333333333333,0.5,0.03333333333333333,0.007509157509157512
4.0,1.0,25.0,26.4,1.3333333333333333,0.5,0.041666666666666664,0.01172161172161172
4.0,1.0,30.0,26.8,1.3333333333333333,0.5,0.05,0.012454212454212455
4.0,1.0,35.0,28.5,1.3333333333333333,0.5,0.058333333333333334,0.015567765567765568
4.0,1.0,40.0,30.8,1.3333333333333333,0.5,0.06666666666666667,0.019780219780219783
